,,,,Outputs (3 total),,,Factor Settings (17 total),,,,,,,,,,,,,,,,,,,,,
Year ,Person,Runs,Energy Use (kWh),Global Warming Potenital (kg CO2eq),Human Health Particulate (kg PM2.5 eq,Annual Energy Cost ($),Roof: Ext Finish/Color,Roof: Exterior Insulation,Roof: Add'l Insulation,AGW: Ext Finish/Color,AGW: Exterior Insulation,AGW: Interior Insulation,AGW: Add'l Insulation,Ceilings: Batt Insulation,Vertical Walls: Batt Insulation,Glass Category,Glass Type,Frame Type,System 1: Heating Source,System 1: System Type,Supply Fans,Heater Fuel,Heater Type,,,,,
2022,Rashreal,1,4994.6,225000,648,868,Light,0,0,Light,10.5,4,13,0,19,Double Low E,2600,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Split System Single Zone,Variable,Gas,Storage,,,,,
2022,Rashreal,2,5757.7,238000,735,925,Dark,0,19,Light,10.5,4,13,0,19,Triple Low E,3662,"Wood, Fixed Mlt Spacer",Electric Resistance,Packaged VVT,Two-Speed,Electricity,instantaneous,,,,,
2022,Rashreal,3,3502,165000,461,644,Dark,4,19,Dark,21,4,13,0,21,Triple Low E,3662,"Fiberglass, Fixed, Mlt spacer",DX Coils,Split System Single Zone,Variable,Gas,Storage,,,,,
2022,Rashreal,4,4575,190000,586,747,Light,4,0,Light,10.5,0,19,0,19,Triple Low E,3662,"Fiberglass, Fixed, Mlt spacer",DX Coils,Packaged VVT,Variable,Electricity,Storage,,,,,
2022,Rashreal,5,3874,179000,508,700,Dark,4,19,Light,10.5,0,19,0,19,Double Low E,2600,"Wood, Fixed Mlt Spacer",DX Coils,Split System Single Zone,Two-Speed,Gas,instantaneous,,,,,
2022,Rashreal,6,4715.9,213000,613,826,Light,0,19,Dark,21,0,19,0,21,Double Low E,2634,"Wood, Fixed Mlt Spacer",Electric Resistance,Packaged VVT,Two-Speed,Gas,Storage,,,,,
2022,Rashreal,7,5676,235000,724,912,Dark,0,0,Light,21,0,19,0,21,Double Low E,2634,"Wood, Fixed Mlt Spacer",Electric Resistance,Split System Single Zone,Variable,Electricity,Storage,,,,,
2022,Rashreal,8,3786.9,176000,497,687,Light,4,0,Dark,10.5,4,19,0,21,Triple Low E,3601,"Wood, Fixed Mlt Spacer",DX Coils,Packaged VVT,Two-Speed,Gas,Storage,,,,,
2022,Rashreal,9,4683.3,195000,600,763,Dark,4,0,Dark,21,0,13,0,19,Double Low E,2634,"Fiberglass, Fixed, Mlt spacer",DX Coils,Packaged VVT,Two-Speed,Electricity,instantaneous,,,,,
2022,Rashreal,10,4602.2,192000,590,751,Light,4,19,Light,21,4,13,0,21,Double Low E,2600,"Wood, Fixed Mlt Spacer",DX Coils,Split System Single Zone,Variable,Electricity,instantaneous,,,,,
2022,Rashreal,11,4740,215000,616,829,Dark,0,0,Dark,21,4,19,0,19,Triple Low E,3601,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Split System Single Zone,Two-Speed,Gas,instantaneous,,,,,
2022,Rashreal,12,5836.9,242000,744,936,Light,0,19,Dark,10.5,0,13,0,21,Triple Low E,3601,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Packaged VVT,Variable,Electricity,instantaneous,,,,,
2022,Rashreal,13,4664.3,212000,607,818,Dark,4,19,Light,21,0,19,0,21,Triple Low E,3601,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Packaged VVT,Variable,Gas,instantaneous,,,,,
2022,Rashreal,14,4779.4,198000,612,778,Dark,0,0,Dark,10.5,4,19,0,21,Double Low E,2600,"Wood, Fixed Mlt Spacer",DX Coils,Packaged VVT,Variable,Electricity,instantaneous,,,,,
2022,Rashreal,15,4667.1,194000,598,761,Light,0,19,Dark,21,0,13,0,19,Triple Low E,3601,"Wood, Fixed Mlt Spacer",DX Coils,Split System Single Zone,Two-Speed,Electricity,Storage,,,,,
2022,Rashreal,16,3671,171000,482,669,Light,0,0,Light,21,4,13,0,21,Double Low E,2634,"Fiberglass, Fixed, Mlt spacer",DX Coils,Packaged VVT,Two-Speed,Gas,instantaneous,,,,,
2022,Rashreal,17,5521.1,229000,705,889,Light,4,0,Dark,21,4,19,0,19,Triple Low E,3662,"Wood, Fixed Mlt Spacer",Electric Resistance,Split System Single Zone,Variable,Electricity,instantaneous,,,,,
2022,Rashreal,18,6003.4,248000,765,961,Dark,4,0,Dark,10.5,0,13,0,21,Double Low E,2600,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Split System Single Zone,Two-Speed,Electricity,Storage,,,,,
2022,Rashreal,19,5727.6,237000,730,920,Light,4,19,Light,21,4,19,0,19,Double Low E,2600,"Fiberglass, Fixed, Mlt spacer",Electric Resistance,Packaged VVT,Two-Speed,Electricity,Storage,,,,,
