T,Stock
2023,
2024,"2,992.50"
2025,"6,733.13"
2026,"11,259.28"
2027,"16,767.35"
2028,"23,510.30"
2029,"31,804.31"
2030,"42,044.28"
2031,"54,723.42"
2032,"70,457.89"
2033,"90,017.58"
2034,"114,364.52"
2035,"144,700.92"
2036,"182,529.30"
2037,"220,181.76"
2038,"255,942.79"
2039,"289,821.20"
2040,"321,911.56"
2041,"352,308.00"
2042,"381,099.93"
2043,"408,372.03"
2044,"434,204.53"
2045,"458,673.43"
2046,"481,850.70"
2047,"503,804.53"
2048,"524,599.50"
2049,"544,296.77"
2050,"562,954.29"
